S No,State,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total
1,ANDAMAN & NICOBAR ISLAND,0,29,40,0,0,30,0,0,0,40,2,101,17,0,0,0,0,259
2,ANDHRA PRADESH,2,109754,602,0,743,6213,3,23,8,128,85,6302,58,0,5,1,1870,125797
3,ARUNACHAL PRADESH,0,29,0,0,0,3,0,0,0,0,0,52,1,0,0,0,0,85
4,ASSAM,0,8803,0,0,1,194541,0,4,0,115,526,747,72,0,0,118,1,204928
5,BIHAR,0,44792,0,0,2,252637,2,7,0,27,237,1614,21,1,0,0,0,299340
6,CHANDIGARH,0,4720,2,0,0,8684,2,0,0,73,102,2651,16,0,0,7,1,16258
7,CHHATTISGARH,0,74852,0,0,133,33550,1,38,0,0,1125,3486,85,1,0,1,373,113645
8,DELHI,2,113861,0,0,0,189702,7,0,0,2507,878,15884,8272,0,0,2,0,331115
9,GOA,0,23594,71,0,14,141,0,1,0,147,79,2878,33,0,0,6,2,26966
10,GUJARAT,12,212011,1,0,39,9484,36,273,0,830,447,15834,177,10,3,62,161,239380
11,HARYANA,0,41906,73,0,0,68068,2,28,0,25,276,4566,2119,0,1,2,12,117078
12,HIMACHAL PRADESH,0,3213,0,0,2,336,0,5,0,113,55,428,63,1,0,2,1,4219
13,JAMMU AND KASHMIR,0,7942,3,0,0,18183,0,2,0,90,8,409,11,0,0,152,1,26801
14,JHARKHAND,0,24920,0,0,0,41025,0,56,0,2,128,1026,291,2,0,3,0,67453
15,KARNATAKA,33,390810,14802,0,49,19195,15,25,1,1452,710,27937,7289,6,0,0,4,462328
16,KERALA,39,160416,58,0,144,12593,14,20,0,175,249,24770,252,0,1,1,2,198734
17,LADAKH,0,62,0,0,0,1,0,0,0,19,0,10,0,0,0,0,0,92
18,LAKSHADWEEP,0,19,0,0,0,1,0,0,0,0,0,11,1,0,0,0,60,92
19,MADHYA PRADESH,0,120429,0,0,89,78124,0,17,0,139,222,4517,118,0,0,40,5079,208774
20,MAHARASHTRA,8,503927,5,0,63,35717,7,24,3,2127,1639,39424,3853,0,30,294,9,587130
21,MANIPUR,0,365,0,0,0,1102,0,0,0,1,0,89,2,1,0,0,0,1560
22,MEGHALAYA,0,268,0,0,6,334,0,0,0,0,219,73,0,1,0,0,0,901
23,MIZORAM,0,677,0,0,0,0,0,2,0,0,0,5,2,0,0,0,2,688
24,NAGALAND,0,59,0,0,0,2,0,2,0,0,1,12,1,0,0,0,0,77
25,ODISHA,1,120541,234,0,5,13600,0,16,0,159,338,3617,237,1,0,10,2,138761
26,PUDUCHERRY,0,8678,0,0,15,369,0,1,0,1,26,290,56,0,0,0,0,9436
27,PUNJAB,0,37348,0,0,23,45052,0,13,0,12,193,2064,59,2,0,1,64,84831
28,RAJASTHAN,28,197136,117,0,1,103307,7,64,0,27,331,11651,213,0,0,0,1,312883
29,SIKKIM,0,2,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,21
30,TAMIL NADU,4,276436,0,0,228,18024,4,112,166,143,3158,17423,948,12,23,2,61,316744
31,TRIPURA,0,867,0,0,0,24630,0,0,0,0,63,75,6,0,0,0,0,25641
32,UT OF DNH AND DD,0,486,0,0,1,83,0,2,0,24,6,119,4,0,0,0,4,729
33,UTTARAKHAND,0,20127,7,0,0,50884,0,0,0,36,4,1435,52,0,0,1,0,72546
34,UTTAR PRADESH,1,154522,35,0,1,839015,0,21,2,718,824,10256,309,0,1,51,1,1005757
35,WEST BENGAL,0,40843,200,0,0,63568,2,14,0,99,2750,5271,1762,7,0,50,18,114584
